lonelyi,1.0,58
fucking lonely,0.9993654822335025,43
lonely really,0.998730964467005,27
junior,0.9980964467005076,29
need something,0.9974619289340102,33
alone day,0.9968274111675127,28
friends school,0.9961928934010152,46
alonei,0.9955583756345178,46
friends back,0.9949238578680203,26
miss friends,0.9942893401015228,26
really alone,0.9936548223350253,29
realize lonely,0.993020304568528,29
people school,0.9923857868020305,29
incredibly lonely,0.991751269035533,29
pandemic,0.9911167512690355,108
everyone know,0.9904822335025381,44
human connection,0.9898477157360406,31
life even,0.9892131979695431,43
able make,0.9885786802030457,27
lost friends,0.9879441624365483,58
social interaction,0.9873096446700508,46
move back,0.9866751269035533,30
nobody talk,0.9860406091370558,45
friends moved,0.9854060913705583,33
friends feel,0.9847715736040609,132
true friends,0.9841370558375635,28
talk try,0.983502538071066,28
want spend,0.9828680203045685,35
many friends,0.9822335025380711,78
uni,0.9815989847715736,42
talk even,0.9809644670050761,31
small talk,0.9803299492385786,31
friends make,0.9796954314720813,38
surrounded people,0.9790609137055838,52
friends since,0.9784263959390863,52
back home,0.9777918781725888,59
middle school,0.9771573604060914,41
lonely know,0.9765228426395939,41
closest,0.9758883248730964,76
lonely even,0.975253807106599,65
lonely depressed,0.9746192893401016,37
would make,0.9739847715736041,50
friends left,0.9733502538071066,33
never friends,0.9727157360406091,33
years feel,0.9720812182741116,43
extremely lonely,0.9714467005076142,36
outcast,0.9708121827411168,36
connection someone,0.9701776649746193,39
spend days,0.9695431472081218,29
mum,0.9689086294416244,29
friends relationships,0.9682741116751269,32
friends seem,0.9676395939086294,32
friends still,0.9670050761421319,55
really talk,0.9663705583756346,55
felt lonely,0.9657360406091371,58
social life,0.9651015228426396,83
friends really,0.9644670050761421,73
always one,0.9638324873096447,44
feel fucking,0.9631979695431472,31
wish friends,0.9625634517766497,40
real friends,0.9619289340101523,81
really close,0.9612944162436549,40
moved away,0.9606598984771574,43
even friends,0.9600253807106599,46
rely,0.9593908629441624,52
two years,0.958756345177665,83
interact people,0.9581218274111675,30
also want,0.9574873096446701,30
friends think,0.9568527918781726,30
single day,0.9562182741116751,33
lonely feel,0.9555837563451777,101
ridiculous,0.9549492385786802,36
two friends,0.9543147208121827,36
lonely one,0.9536802030456852,39
awhile,0.9530456852791879,39
know anymore,0.9524111675126904,79
time one,0.9517766497461929,39
care much,0.9511421319796954,39
friends online,0.950507614213198,42
closest friends,0.9498730964467005,42
try talk,0.949238578680203,94
feel loneliness,0.9486040609137056,69
connect people,0.9479695431472082,75
surrounded,0.9473350253807107,108
even make,0.9467005076142132,38
childhood,0.9460659898477157,77
call friend,0.9454314720812182,53
people hang,0.9447969543147208,32
pathetic,0.9441624365482234,133
forgotten,0.9435279187817259,58
live alone,0.9428934010152284,58
made friends,0.942258883248731,58
esteem,0.9416243654822335,49
live like,0.940989847715736,43
friends live,0.9403553299492385,40
friends hang,0.9397208121827412,40
attend,0.9390862944162437,37
anytime,0.9384517766497462,34
single person,0.9378172588832487,34
staring,0.9371827411167513,34
like nobody,0.9365482233502538,34
get good,0.9359137055837563,31
would talk,0.9352791878172588,31
friends used,0.9346446700507615,31
nobody cares,0.934010152284264,31
highschool,0.9333756345177665,60
hangout,0.932741116751269,60
ever since,0.9321065989847716,86
one else,0.9314720812182741,51
make plans,0.9308375634517766,48
hard make,0.9302030456852792,48
lonely time,0.9295685279187818,45
hardly,0.9289340101522843,42
like missing,0.9282994923857868,42
feel empty,0.9276649746192893,85
always felt,0.9270304568527918,39
almost every,0.9263959390862944,39
past months,0.925761421319797,39
one friend,0.9251269035532995,159
yet still,0.924492385786802,36
get close,0.9238578680203046,36
lonely friends,0.9232233502538071,36
invisible,0.9225888324873096,50
inevitable,0.9219543147208121,33
really lonely,0.9213197969543148,67
human interaction,0.9206852791878173,33
outgoing,0.9200507614213198,33
lonely want,0.9194162436548223,67
like much,0.9187817258883249,33
self esteem,0.9181472081218274,47
people age,0.9175126903553299,41
someone get,0.9168781725888325,41
hard get,0.916243654822335,41
day feel,0.9156091370558376,55
feel alone,0.9149746192893401,301
get invited,0.9143401015228426,38
friendsi,0.9137055837563451,38
feel lonely,0.9130710659898477,518
friends group,0.9124365482233503,134
alone know,0.9118020304568528,43
brother,0.9111675126903553,120
settle,0.9105329949238579,32
want happy,0.9098984771573604,32
feel extremely,0.9092639593908629,32
almost years,0.9086294416243654,51
make friends,0.9079949238578681,412
like always,0.9073604060913706,81
eachother,0.9067258883248731,40
aside,0.9060913705583756,40
everyone else,0.9054568527918782,119
one talk,0.9048223350253807,149
even care,0.9041878172588832,37
family friends,0.9035532994923858,75
consumed,0.9029187817258884,37
friends people,0.9022842639593909,75
talk anymore,0.9016497461928934,37
friends friends,0.9010152284263959,56
incredibly,0.9003807106598984,83
friends even,0.899746192893401,110
gotten,0.8991116751269036,150
panic attacks,0.8984771573604061,34
companionship,0.8978426395939086,34
alone even,0.8972081218274112,34
first place,0.8965736040609137,34
parents,0.8959390862944162,335
never really,0.8953045685279187,125
loneliness,0.8946700507614214,730
want friends,0.8940355329949239,165
high school,0.8934010152284264,237
want people,0.8927664974619289,47
three,0.8921319796954315,127
stick,0.891497461928934,63
one even,0.8908629441624365,39
friends family,0.8902284263959391,108
really hard,0.8895939086294417,60
even feel,0.8889593908629442,52
diagnosed,0.8883248730964467,52
basis,0.8876903553299492,36
get wrong,0.8870558375634517,36
acquaintances,0.8864213197969543,65
city,0.8857868020304569,123
classmates,0.8851522842639594,57
person talk,0.8845177664974619,49
caught,0.8838832487309645,49
moved new,0.883248730964467,49
